Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1001090,2020 GENERAL ELECTION,01,Jefferson,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,001,Joseph R. Biden,180936,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,002,Donald J. Trump,138443,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,003,Jo Jorgensen,3568,IND
1001090,2020 GENERAL ELECTION,01,Jefferson,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,004,Write-In,1728,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00100900,UNITED STATES SENATOR,001,Doug Jones,189854,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00100900,UNITED STATES SENATOR,002,Tommy Tuberville,133931,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00100900,UNITED STATES SENATOR,003,Write-In,550,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00100960,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",001,Gary Palmer,134753,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00100960,"UNITED STATES REPRESENTATIVE, 6TH CONGRESSIONAL DISTRICT",002,Write-In,5349,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00100970,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",001,Terri A. Sewell,109865,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00100970,"UNITED STATES REPRESENTATIVE, 7TH CONGRESSIONAL DISTRICT",002,Write-In,1109,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00101400,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1",001,Greg Shaw,165286,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00101400,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1",002,Write-In,8713,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00101410,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2",001,Brad Mendheim,164457,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00101410,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2",002,Write-In,8446,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00102600,"COURT OF CIVIL APPEALS JUDGE, PLACE 1",001,"William C. ""Bill"" Thompson",164475,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00102600,"COURT OF CIVIL APPEALS JUDGE, PLACE 1",002,Write-In,8303,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00102700,"COURT OF CIVIL APPEALS JUDGE, PLACE 2",001,Matt Fridy,163867,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00102700,"COURT OF CIVIL APPEALS JUDGE, PLACE 2",002,Write-In,8170,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00103100,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 1",001,Mary Windom,163672,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00103100,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 1",002,Write-In,7934,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00103200,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 2",001,Beth Kellum,163182,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00103200,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 2",002,Write-In,7784,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00103600,"PRESIDENT, PUBLIC SERVICE COMMISSION",001,Laura Casey,180215,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00103600,"PRESIDENT, PUBLIC SERVICE COMMISSION",002,Twinkle Andress Cavanaugh,137682,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00103600,"PRESIDENT, PUBLIC SERVICE COMMISSION",003,Write-In,384,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00104100,STATE BOARD OF EDUCATION MEMBER DISTRICT 3,001,Jarralynne Agee,23843,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00104100,STATE BOARD OF EDUCATION MEMBER DISTRICT 3,002,Stephanie Bell,38965,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00104100,STATE BOARD OF EDUCATION MEMBER DISTRICT 3,003,Write-In,40,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00104500,STATE BOARD OF EDUCATION MEMBER DISTRICT 7,001,Belinda Palmer McRae,72598,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,00104500,STATE BOARD OF EDUCATION MEMBER DISTRICT 7,002,Write-In,1411,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00122800,"CIRCUIT COURT JUDGE, 10TH JUDICIAL CIRCUIT, PLACE 2",001,Shanta Owens,195394,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00122800,"CIRCUIT COURT JUDGE, 10TH JUDICIAL CIRCUIT, PLACE 2",002,Write-In,5354,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00122900,"CIRCUIT COURT JUDGE, 10TH JUDICIAL CIRCUIT, PLACE 3",001,Kechia Davis,194524,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00122900,"CIRCUIT COURT JUDGE, 10TH JUDICIAL CIRCUIT, PLACE 3",002,Write-In,5077,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00123600,"CIRCUIT COURT JUDGE, 10TH JUDICIAL CIRCUIT, PLACE 10",001,Patrick James Ballard,194349,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,00123600,"CIRCUIT COURT JUDGE, 10TH JUDICIAL CIRCUIT, PLACE 10",002,Write-In,4885,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511100,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1),001,Yes,175809,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511100,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1),002,No,99395,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511200,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2),001,Yes,113638,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511200,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2),002,No,150599,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511300,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3),001,Yes,145489,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511300,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3),002,No,123400,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511400,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4),001,Yes,195723,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511400,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4),002,No,76159,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511500,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5),001,Yes,146491,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511500,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5),002,No,104695,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511600,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6),001,Yes,140103,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,00511600,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6),002,No,106424,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01031800,"DISTRICT COURT JUDGE, JEFFERSON COUNTY, PLACE NO. 1",001,Martha R. Cook,194847,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01031800,"DISTRICT COURT JUDGE, JEFFERSON COUNTY, PLACE NO. 1",002,Write-In,4789,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01031900,"DISTRICT COURT JUDGE, JEFFERSON COUNTY, PLACE NO. 2",001,Maria Fortune,193932,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01031900,"DISTRICT COURT JUDGE, JEFFERSON COUNTY, PLACE NO. 2",002,Write-In,4690,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032000,"DISTRICT COURT JUDGE, JEFFERSON COUNTY, PLACE NO. 7",001,Ruby Yvette Davis,174630,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01032000,"DISTRICT COURT JUDGE, JEFFERSON COUNTY, PLACE NO. 7",002,Bentley Patrick,142227,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032000,"DISTRICT COURT JUDGE, JEFFERSON COUNTY, PLACE NO. 7",003,Write-In,227,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032100,"TREASURER,  JEFFERSON COUNTY",001,Eyrika Parker,193666,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01032100,"TREASURER,  JEFFERSON COUNTY",002,Write-In,4647,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032200,"DEPUTY TREASURER, JEFFERSON COUNTY,  BESSEMER DIVISI",001,Sherry McClain,43664,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01032200,"DEPUTY TREASURER, JEFFERSON COUNTY,  BESSEMER DIVISI",002,John Stephens,35576,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032200,"DEPUTY TREASURER, JEFFERSON COUNTY,  BESSEMER DIVISI",003,Write-In,49,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032300,"TAX ASSESSOR, JEFFERSON COUNTY",001,Gaynell Hendricks,176593,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01032300,"TAX ASSESSOR, JEFFERSON COUNTY",002,Jonathan O. Barbee,140274,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032300,"TAX ASSESSOR, JEFFERSON COUNTY",003,Write-In,255,NON
