Chicago Board of Election Commissioners,,,,,,,,,,,,,
,,,,,,,,,,,,,
2020 General Election - 11/3/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President & Vice President, U.S.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%,
1067190,877852,82.26%,172402,16.15%,5826,0.55%,2519,0.24%,1331,0.12%,7260,0.68%,
,,,,,,,,,,,,,
Ward 1,,,,,,,,,,,,,
Precinct,Votes,Joseph R. Biden & Kamala D. Harris,%,Donald J. Trump & Michael R. Pence,%,Howie Hawkins & Angela Walker,%,Gloria La Riva & Leonard Peltier,%,Brian Carroll & Amar Patel,%,Jo Jorgensen & Jeremy ''Spike'' Cohen,%
1,736,641,87.09%,75,10.19%,7,0.95%,6,0.82%,1,0.14%,6,0.82%
2,581,515,88.64%,51,8.78%,6,1.03%,4,0.69%,0,0%,5,0.86%
3,796,718,90.20%,68,8.54%,1,0.13%,0,0%,1,0.13%,8,1.01%
4,791,686,86.73%,91,11.50%,3,0.38%,2,0.25%,1,0.13%,8,1.01%
5,732,647,88.39%,71,9.70%,3,0.41%,2,0.27%,0,0%,9,1.23%
6,636,531,83.49%,94,14.78%,5,0.79%,2,0.31%,1,0.16%,3,0.47%
7,469,412,87.85%,47,10.02%,1,0.21%,2,0.43%,0,0%,7,1.49%
8,628,557,88.69%,64,10.19%,2,0.32%,1,0.16%,0,0%,4,0.64%
9,480,409,85.21%,61,12.71%,4,0.83%,1,0.21%,0,0%,5,1.04%
10,871,751,86.22%,100,11.48%,3,0.34%,0,0%,1,0.11%,16,1.84%
11,795,712,89.56%,67,8.43%,7,0.88%,0,0%,0,0%,9,1.13%
12,830,683,82.29%,130,15.66%,5,0.60%,3,0.36%,0,0%,9,1.08%
13,344,298,86.63%,30,8.72%,5,1.45%,3,0.87%,0,0%,8,2.33%
14,675,602,89.19%,66,9.78%,2,0.30%,1,0.15%,0,0%,4,0.59%
15,606,505,83.33%,84,13.86%,4,0.66%,4,0.66%,0,0%,9,1.49%
16,739,642,86.87%,78,10.55%,5,0.68%,5,0.68%,1,0.14%,8,1.08%
17,588,523,88.95%,54,9.18%,4,0.68%,3,0.51%,1,0.17%,3,0.51%
18,656,596,90.85%,46,7.01%,4,0.61%,5,0.76%,1,0.15%,4,0.61%
19,782,704,90.03%,55,7.03%,11,1.41%,2,0.26%,0,0%,10,1.28%
20,514,475,92.41%,33,6.42%,3,0.58%,1,0.19%,0,0%,2,0.39%
21,1018,913,89.69%,84,8.25%,9,0.88%,1,0.10%,1,0.10%,10,0.98%
22,460,405,88.04%,41,8.91%,8,1.74%,2,0.43%,0,0%,4,0.87%
23,858,771,89.86%,62,7.23%,12,1.40%,6,0.70%,3,0.35%,4,0.47%
24,621,543,87.44%,56,9.02%,7,1.13%,8,1.29%,2,0.32%,5,0.81%
25,651,580,89.09%,56,8.60%,4,0.61%,0,0%,2,0.31%,9,1.38%
26,459,398,86.71%,54,11.76%,2,0.44%,0,0%,1,0.22%,4,0.87%
27,752,646,85.90%,92,12.23%,4,0.53%,2,0.27%,0,0%,8,1.06%
28,229,187,81.66%,36,15.72%,2,0.87%,0,0%,2,0.87%,2,0.87%
29,904,806,89.16%,77,8.52%,3,0.33%,6,0.66%,0,0%,12,1.33%
30,753,658,87.38%,78,10.36%,9,1.20%,3,0.40%,0,0%,5,0.66%
31,611,525,85.92%,76,12.44%,1,0.16%,3,0.49%,2,0.33%,4,0.65%
32,668,554,82.93%,98,14.67%,2,0.30%,0,0%,2,0.30%,12,1.80%
33,783,652,83.27%,117,14.94%,2,0.26%,5,0.64%,0,0%,7,0.89%
34,530,485,91.51%,34,6.42%,2,0.38%,2,0.38%,1,0.19%,6,1.13%
35,849,723,85.16%,109,12.84%,4,0.47%,0,0%,0,0%,13,1.53%
