,Registered Voters,Ballots Cast,Biden,Trump,Blankenship,Jorgensen,Carroll,WRITE-IN
City of Milwaukee Ward 1 ,1502,1185,974,190,5,5,2,6
City of Milwaukee Ward 2 ,524,358,323,28,0,3,1,1
City of Milwaukee Ward 3 ,1119,879,718,146,1,3,1,4
City of Milwaukee Ward 4 ,1907,1473,1257,188,4,8,4,7
City of Milwaukee Ward 5 ,974,777,660,102,1,5,2,3
City of Milwaukee Ward 6 ,2157,1777,1408,350,0,9,3,1
City of Milwaukee Ward 7 ,745,562,398,158,1,3,1,1
City of Milwaukee Ward 8 ,1765,1484,1150,306,4,16,3,2
City of Milwaukee Ward 9 ,876,752,633,115,0,2,1,0
City of Milwaukee Ward 10 ,1447,1176,880,284,2,4,0,4
City of Milwaukee Ward 11 ,1298,1030,841,170,2,8,0,2
City of Milwaukee Ward 12 ,1126,811,667,134,1,3,0,1
City of Milwaukee Ward 13 ,699,517,386,122,0,4,3,1
City of Milwaukee Ward 14 ,1341,1012,930,71,1,3,1,2
City of Milwaukee Ward 15 ,878,768,535,218,4,7,0,4
City of Milwaukee Ward 16 ,1768,1384,1211,154,2,8,3,3
City of Milwaukee Ward 17 ,735,615,477,125,1,2,3,3
City of Milwaukee Ward 18 ,1079,873,739,125,0,4,0,2
City of Milwaukee Ward 19 ,891,660,551,99,1,1,3,1
City of Milwaukee Ward 20 ,1122,901,800,93,1,5,1,1
City of Milwaukee Ward 21 ,1081,809,740,58,0,3,2,1
City of Milwaukee Ward 22 ,991,707,612,81,1,4,3,4
City of Milwaukee Ward 23 ,450,303,262,34,1,2,1,2
City of Milwaukee Ward 24 ,609,352,312,33,0,2,1,1
City of Milwaukee Ward 25 ,1004,695,605,83,1,1,0,3
City of Milwaukee Ward 26 ,886,703,607,80,2,6,1,3
City of Milwaukee Ward 27 ,800,625,508,109,2,3,0,2
City of Milwaukee Ward 28 ,353,236,205,27,0,1,0,2
City of Milwaukee Ward 29 ,460,338,293,39,0,1,1,1
City of Milwaukee Ward 30 ,950,659,561,88,3,1,2,3
City of Milwaukee Ward 31 ,866,665,590,70,0,0,0,3
City of Milwaukee Ward 32 ,1857,1482,1225,224,1,14,3,12
City of Milwaukee Ward 33 ,2395,2043,1324,684,5,19,6,1
City of Milwaukee Ward 34 ,1426,1145,853,263,1,17,3,4
City of Milwaukee Ward 35 ,1071,869,613,241,1,9,2,3
City of Milwaukee Ward 36 ,978,796,687,95,0,8,3,1
City of Milwaukee Ward 37 ,965,657,580,64,0,4,1,4
City of Milwaukee Ward 38 ,749,538,492,41,0,3,0,1
City of Milwaukee Ward 39 ,885,682,568,105,2,2,2,2
City of Milwaukee Ward 40 ,861,635,580,49,0,3,0,2
City of Milwaukee Ward 41 ,860,627,572,51,0,1,1,1
City of Milwaukee Ward 42 ,1145,890,811,67,1,4,0,3
City of Milwaukee Ward 43 ,446,254,235,17,0,1,0,0
City of Milwaukee Ward 44 ,1152,902,804,81,1,6,2,1
City of Milwaukee Ward 45 ,1185,871,771,81,0,4,5,2
City of Milwaukee Ward 46 ,665,489,446,34,0,1,3,1
City of Milwaukee Ward 47 ,1135,849,783,48,1,6,2,7
City of Milwaukee Ward 48 ,553,423,382,35,3,1,0,1
City of Milwaukee Ward 49 ,776,568,521,39,0,2,0,3
City of Milwaukee Ward 50 ,719,526,472,49,1,2,0,1
City of Milwaukee Ward 51 ,703,506,472,25,0,2,0,2
City of Milwaukee Ward 52 ,1049,700,643,45,1,1,5,1
City of Milwaukee Ward 53 ,475,387,348,32,0,1,3,0
City of Milwaukee Ward 54 ,608,432,411,11,1,1,1,1
City of Milwaukee Ward 55 ,1312,1041,847,172,3,10,1,1
City of Milwaukee Ward 56 ,823,650,617,27,0,2,0,2
City of Milwaukee Ward 57 ,1072,824,788,21,1,10,0,3
City of Milwaukee Ward 58 ,788,640,602,25,1,2,2,4
City of Milwaukee Ward 59 ,1550,1172,1115,44,3,2,2,4
City of Milwaukee Ward 60 ,1071,765,736,23,1,1,1,0
City of Milwaukee Ward 61 ,943,674,644,22,0,1,1,1
City of Milwaukee Ward 62 ,782,544,511,23,1,1,5,2
City of Milwaukee Ward 63 ,740,537,507,20,0,1,2,1
City of Milwaukee Ward 64 ,1600,1203,1134,54,1,1,1,3
City of Milwaukee Ward 65 ,1233,981,934,38,1,5,0,1
City of Milwaukee Ward 66 ,775,568,536,22,0,4,1,4
City of Milwaukee Ward 67 ,707,525,497,19,1,2,3,2
City of Milwaukee Ward 68 ,1299,978,846,106,3,11,3,4
City of Milwaukee Ward 69 ,1033,800,747,40,2,2,3,3
City of Milwaukee Ward 70 ,1466,1147,1059,78,1,3,0,3
City of Milwaukee Ward 71 ,838,671,618,48,0,3,0,1
City of Milwaukee Ward 72 ,1125,923,840,74,2,0,2,2
City of Milwaukee Ward 73 ,1245,980,870,92,1,4,2,7
City of Milwaukee Ward 74 ,785,665,597,62,0,1,1,0
City of Milwaukee Ward 75 ,855,688,565,114,1,5,0,2
City of Milwaukee Ward 76 ,851,664,592,57,2,3,3,4
City of Milwaukee Ward 77 ,761,621,518,96,1,1,0,3
City of Milwaukee Ward 78 ,1321,1044,881,145,2,4,1,7
City of Milwaukee Ward 79 ,1350,1111,929,162,1,6,3,6
City of Milwaukee Ward 80 ,1790,1478,1072,379,3,11,2,7
City of Milwaukee Ward 81 ,740,636,384,230,1,13,1,3
City of Milwaukee Ward 82 ,945,845,528,301,0,11,3,0
City of Milwaukee Ward 83 ,1157,1011,662,323,3,16,0,5
City of Milwaukee Ward 84 ,826,711,465,224,1,9,3,8
City of Milwaukee Ward 85 ,1109,948,623,302,0,12,4,4
City of Milwaukee Ward 86 ,1065,927,629,274,1,14,2,6
City of Milwaukee Ward 87 ,689,594,434,150,0,7,0,2
City of Milwaukee Ward 88 ,928,804,605,183,1,11,2,2
City of Milwaukee Ward 89 ,1175,1012,746,245,3,9,3,4
City of Milwaukee Ward 90 ,1135,966,733,217,1,7,3,3
City of Milwaukee Ward 91 ,1650,1289,1141,128,1,6,2,4
City of Milwaukee Ward 92 ,1606,1346,1057,260,3,15,3,7
City of Milwaukee Ward 93 ,765,678,495,170,0,9,0,2
City of Milwaukee Ward 94 ,609,446,415,23,3,2,1,1
City of Milwaukee Ward 95 ,664,543,498,44,0,0,1,0
City of Milwaukee Ward 96 ,1201,977,852,118,0,6,0,0
City of Milwaukee Ward 97 ,1144,937,711,208,1,4,3,4
City of Milwaukee Ward 98 ,803,663,619,32,2,2,1,2
City of Milwaukee Ward 99 ,1291,1042,938,95,0,3,2,3
City of Milwaukee Ward 100 ,801,620,573,34,2,4,1,3
City of Milwaukee Ward 101 ,1199,927,883,28,2,5,3,3
City of Milwaukee Ward 102 ,1394,1135,1062,57,2,4,3,2
City of Milwaukee Ward 103 ,1726,1256,1147,94,2,1,1,6
City of Milwaukee Ward 104 ,1468,1019,968,33,3,1,5,5
City of Milwaukee Ward 105 ,627,434,411,14,1,2,0,1
City of Milwaukee Ward 106 ,562,328,307,11,1,1,2,1
City of Milwaukee Ward 107 ,829,608,588,10,1,2,1,2
City of Milwaukee Ward 108 ,862,616,576,26,1,2,0,7
City of Milwaukee Ward 109 ,959,638,614,18,0,0,2,2
