,Joseph R. Biden / Kamala D. Harris,Donald J. Trump / Michael R. Pence,Don Blankenship / William Mohr,Jo Jorgensen / Jeremy Spike Cohen,Brian Carroll / Amar Patel,WRITE-IN,
City of Milwaukee Ward 1 ,974,190,5,5,2,6,
City of Milwaukee Ward 2 ,323,28,0,3,1,1,
City of Milwaukee Ward 3 ,718,146,1,3,1,4,
City of Milwaukee Ward 4 ,1257,188,4,8,4,7,
City of Milwaukee Ward 5 ,660,102,1,5,2,3,
City of Milwaukee Ward 6 ,1408,350,0,9,3,1,
City of Milwaukee Ward 7 ,398,158,1,3,1,1,
City of Milwaukee Ward 8 ,1150,306,4,16,3,2,
City of Milwaukee Ward 9 ,633,115,0,2,1,0,
City of Milwaukee Ward 10 ,880,284,2,4,0,4,
City of Milwaukee Ward 11 ,841,170,2,8,0,2,
City of Milwaukee Ward 12 ,667,134,1,3,0,1,
City of Milwaukee Ward 13 ,386,122,0,4,3,1,
City of Milwaukee Ward 14 ,930,71,1,3,1,2,
City of Milwaukee Ward 15 ,535,218,4,7,0,4,
City of Milwaukee Ward 16 ,1211,154,2,8,3,3,
City of Milwaukee Ward 17 ,477,125,1,2,3,3,
City of Milwaukee Ward 18 ,739,125,0,4,0,2,
City of Milwaukee Ward 19 ,551,99,1,1,3,1,
City of Milwaukee Ward 20 ,800,93,1,5,1,1,
City of Milwaukee Ward 21 ,740,58,0,3,2,1,
City of Milwaukee Ward 22 ,612,81,1,4,3,4,
City of Milwaukee Ward 23 ,262,34,1,2,1,2,
City of Milwaukee Ward 24 ,312,33,0,2,1,1,
City of Milwaukee Ward 25 ,605,83,1,1,0,3,
City of Milwaukee Ward 26 ,607,80,2,6,1,3,
City of Milwaukee Ward 27 ,508,109,2,3,0,2,
City of Milwaukee Ward 28 ,205,27,0,1,0,2,
City of Milwaukee Ward 29 ,293,39,0,1,1,1,
City of Milwaukee Ward 30 ,561,88,3,1,2,3,
City of Milwaukee Ward 31 ,590,70,0,0,0,3,
City of Milwaukee Ward 32 ,1225,224,1,14,3,12,
City of Milwaukee Ward 33 ,1324,684,5,19,6,1,
City of Milwaukee Ward 34 ,853,263,1,17,3,4,
City of Milwaukee Ward 35 ,613,241,1,9,2,3,
City of Milwaukee Ward 36 ,687,95,0,8,3,1,
City of Milwaukee Ward 37 ,580,64,0,4,1,4,
City of Milwaukee Ward 38 ,492,41,0,3,0,1,
City of Milwaukee Ward 39 ,568,105,2,2,2,2,
City of Milwaukee Ward 40 ,580,49,0,3,0,2,
City of Milwaukee Ward 41 ,572,51,0,1,1,1,
City of Milwaukee Ward 42 ,811,67,1,4,0,3,
City of Milwaukee Ward 43 ,235,17,0,1,0,0,
City of Milwaukee Ward 44 ,804,81,1,6,2,1,
City of Milwaukee Ward 45 ,771,81,0,4,5,2,
City of Milwaukee Ward 46 ,446,34,0,1,3,1,
City of Milwaukee Ward 47 ,783,48,1,6,2,7,
City of Milwaukee Ward 48 ,382,35,3,1,0,1,
City of Milwaukee Ward 49 ,521,39,0,2,0,3,
City of Milwaukee Ward 50 ,472,49,1,2,0,1,
City of Milwaukee Ward 51 ,472,25,0,2,0,2,
City of Milwaukee Ward 52 ,643,45,1,1,5,1,
City of Milwaukee Ward 53 ,348,32,0,1,3,0,
City of Milwaukee Ward 54 ,411,11,1,1,1,1,
City of Milwaukee Ward 55 ,847,172,3,10,1,1,
City of Milwaukee Ward 56 ,617,27,0,2,0,2,
City of Milwaukee Ward 57 ,788,21,1,10,0,3,
City of Milwaukee Ward 58 ,602,25,1,2,2,4,
City of Milwaukee Ward 59 ,1115,44,3,2,2,4,
City of Milwaukee Ward 60 ,736,23,1,1,1,0,
City of Milwaukee Ward 61 ,644,22,0,1,1,1,
City of Milwaukee Ward 62 ,511,23,1,1,5,2,
City of Milwaukee Ward 63 ,507,20,0,1,2,1,
City of Milwaukee Ward 64 ,1134,54,1,1,1,3,
City of Milwaukee Ward 65 ,934,38,1,5,0,1,
City of Milwaukee Ward 66 ,536,22,0,4,1,4,
City of Milwaukee Ward 67 ,497,19,1,2,3,2,
City of Milwaukee Ward 68 ,846,106,3,11,3,4,
City of Milwaukee Ward 69 ,747,40,2,2,3,3,
City of Milwaukee Ward 70 ,1059,78,1,3,0,3,
City of Milwaukee Ward 71 ,618,48,0,3,0,1,
City of Milwaukee Ward 72 ,840,74,2,0,2,2,
City of Milwaukee Ward 73 ,870,92,1,4,2,7,
City of Milwaukee Ward 74 ,597,62,0,1,1,0,
City of Milwaukee Ward 75 ,565,114,1,5,0,2,
City of Milwaukee Ward 76 ,592,57,2,3,3,4,
City of Milwaukee Ward 77 ,518,96,1,1,0,3,
City of Milwaukee Ward 78 ,881,145,2,4,1,7,
City of Milwaukee Ward 79 ,929,162,1,6,3,6,
City of Milwaukee Ward 80 ,1072,379,3,11,2,7,
City of Milwaukee Ward 81 ,384,230,1,13,1,3,
City of Milwaukee Ward 82 ,528,301,0,11,3,0,
City of Milwaukee Ward 83 ,662,323,3,16,0,5,
City of Milwaukee Ward 84 ,465,224,1,9,3,8,
City of Milwaukee Ward 85 ,623,302,0,12,4,4,
City of Milwaukee Ward 86 ,629,274,1,14,2,6,
City of Milwaukee Ward 87 ,434,150,0,7,0,2,
City of Milwaukee Ward 88 ,605,183,1,11,2,2,
City of Milwaukee Ward 89 ,746,245,3,9,3,4,
City of Milwaukee Ward 90 ,733,217,1,7,3,3,
City of Milwaukee Ward 91 ,1141,128,1,6,2,4,
City of Milwaukee Ward 92 ,1057,260,3,15,3,7,
City of Milwaukee Ward 93 ,495,170,0,9,0,2,
City of Milwaukee Ward 94 ,415,23,3,2,1,1,
City of Milwaukee Ward 95 ,498,44,0,0,1,0,
City of Milwaukee Ward 96 ,852,118,0,6,0,0,
City of Milwaukee Ward 97 ,711,208,1,4,3,4,
City of Milwaukee Ward 98 ,619,32,2,2,1,2,
City of Milwaukee Ward 99 ,938,95,0,3,2,3,
City of Milwaukee Ward 100 ,573,34,2,4,1,3,
City of Milwaukee Ward 101 ,883,28,2,5,3,3,
City of Milwaukee Ward 102 ,1062,57,2,4,3,2,
City of Milwaukee Ward 103 ,1147,94,2,1,1,6,
City of Milwaukee Ward 104 ,968,33,3,1,5,5,
City of Milwaukee Ward 105 ,411,14,1,2,0,1,
City of Milwaukee Ward 106 ,307,11,1,1,2,1,
City of Milwaukee Ward 107 ,588,10,1,2,1,2,
City of Milwaukee Ward 108 ,576,26,1,2,0,7,
City of Milwaukee Ward 109 ,614,18,0,0,2,2,
City of Milwaukee Ward 110 ,324,11,1,3,1,0,
City of Milwaukee Ward 111 ,461,15,0,1,1,4,
City of Milwaukee Ward 112 ,577,18,2,1,1,2,
City of Milwaukee Ward 113 ,482,22,0,2,3,2,
City of Milwaukee Ward 114 ,470,16,1,4,1,2,
City of Milwaukee Ward 115 ,789,19,0,5,2,0,
City of Milwaukee Ward 116 ,395,10,0,0,1,1,
City of Milwaukee Ward 117 ,465,9,0,3,2,2,
City of Milwaukee Ward 118 ,539,24,1,1,2,2,
City of Milwaukee Ward 119 ,550,17,0,2,1,4,
City of Milwaukee Ward 120 ,447,20,0,3,0,0,
City of Milwaukee Ward 121 ,612,33,0,0,5,2,
City of Milwaukee Ward 122 ,630,33,0,2,1,2,
City of Milwaukee Ward 123 ,810,76,0,6,4,6,
City of Milwaukee Ward 124 ,539,52,2,8,1,3,
City of Milwaukee Ward 125 ,1012,121,1,5,1,9,
City of Milwaukee Ward 126 ,815,73,1,8,3,8,
City of Milwaukee Ward 127 ,1016,209,1,13,1,7,
City of Milwaukee Ward 128 ,1056,227,0,22,2,10,
City of Milwaukee Ward 129 ,809,162,0,11,0,5,
City of Milwaukee Ward 130 ,267,78,0,5,0,2,
City of Milwaukee Ward 131 ,864,267,2,6,0,4,
City of Milwaukee Ward 132 ,1255,359,1,12,0,6,
City of Milwaukee Ward 133 ,710,100,1,13,2,4,
City of Milwaukee Ward 134 ,759,117,2,20,2,8,
City of Milwaukee Ward 135 ,1076,164,2,18,1,10,
City of Milwaukee Ward 136 ,738,121,2,14,0,10,
City of Milwaukee Ward 137 ,558,83,1,7,2,8,
City of Milwaukee Ward 138 ,1773,129,2,14,4,17,
City of Milwaukee Ward 139 ,1177,99,2,11,5,11,
City of Milwaukee Ward 140 ,343,25,0,2,1,1,
City of Milwaukee Ward 141 ,531,28,0,0,2,6,
City of Milwaukee Ward 142 ,598,21,2,3,2,4,
City of Milwaukee Ward 143 ,448,18,0,0,1,2,
City of Milwaukee Ward 144 ,334,6,0,0,2,2,
City of Milwaukee Ward 145 ,200,5,0,1,4,1,
City of Milwaukee Ward 146 ,179,6,0,1,2,0,
City of Milwaukee Ward 147 ,700,23,1,3,0,0,
City of Milwaukee Ward 148 ,524,22,1,1,1,3,
City of Milwaukee Ward 149 ,632,34,0,2,2,1,
City of Milwaukee Ward 150 ,553,32,3,3,0,0,
City of Milwaukee Ward 151 ,391,15,0,1,2,1,
City of Milwaukee Ward 152 ,332,19,0,2,3,0,
City of Milwaukee Ward 153 ,624,38,0,4,1,2,
City of Milwaukee Ward 154 ,486,26,1,7,0,2,
City of Milwaukee Ward 155 ,433,30,2,3,1,3,
City of Milwaukee Ward 156 ,636,50,1,5,0,4,
City of Milwaukee Ward 157 ,444,46,0,2,2,3,
City of Milwaukee Ward 158 ,429,21,0,5,0,1,
City of Milwaukee Ward 159 ,400,45,1,3,0,1,
